cluster,class,example,% class,%cluster
0,4,8,25.8%,1.0%
,5,56,46.7%,6.7%
,6,771,95.5%,92.3%
1,0,40,23.1%,15.9%
,1,2,0.5%,0.8%
,2,189,15.6%,75.0%
,3,7,12.3%,2.8%
,4,14,45.2%,5.6%
,5,64,53.3%,25.4%
,6,36,4.5%,14.3%
2,0,108,62.4%,14.8%
,1,349,92.6%,47.7%
,2,247,20.4%,33.7%
,3,28,49.1%,3.8%
3,0,25,14.5%,2.9%
,1,26,6.9%,3.0%
,2,772,63.9%,90.4%
,3,22,38.6%,2.6%
,4,9,29.0%,1.1%
